date,releaseName,removals,geneAdditions,allelleAdditions,sequenceUpdate,metadataUpdate
2018-09-26,201839-3,,,,1,
2018-06-15,201824-5,,,,,4
2018-06-01,201822-5,,1,1,,
2018-05-17,201820-4,,,,1,3
2017-07-11,201728-2,,,,6,
2017-06-08,201723-4,,1,,1,4
2016-10-07,201640-5,,1,1,,
2016-06-07,201623-2,,,,,2
2016-05-10,201619-2,,,,,2
2016-02-11,201606-4,,,,,6
2015-11-16,201547-1,,1,1,,
2015-04-08,201515-3,1,33,33,1,1
2015-03-12,201511-4,,7,7,,1
2015-02-17,201508-2,,,,18,2
2014-12-11,201450-4,,,,3,
2014-04-03,201414-4,,,,,1
2013-02-20,201308-3,,,1,,
2012-03-12,201211-1,,,,2,
2011-12-02,201148-5,,1,1,,
2011-11-08,201145-2,,1,1,,1
2011-09-22,201138-4,,1,1,,
2011-08-31,201135-3,1,,,1,
2011-07-29,201130-5,,1,1,,
2011-07-26,201130-2,,1,1,,
2011-06-27,201126-1,,,4,,
2011-04-29,201117-5,,1,1,,
2010-11-29,201048-1,,51,51,,
2010-07-28,201030-3,,,,,2
